rank,host,core,stage,count,sum_us,max_us,start_us,end_us,aux0,aux1,aux2,aux3
0,rank0,0,kernel_total,1,6.677,6.677,102.051,108.72799682617188,0,0,0,0
0,rank0,0,pack_total,1,5.579,5.579,102.146,107.72500610351562,0,0,0,0
0,rank0,0,pack_input_wait,4,0.089,0.023,102.449,105.87600708007812,40960,0,0,0
0,rank0,0,pack_quantize,4,1.258,0.335,102.55,106.28302001953125,20480,44,0,0
0,rank0,0,pack_tx_publish,4,0.74,0.245,103.986,107.33599853515625,0,4,4,256
0,rank0,0,receive_total,1,0.557,0.557,107.93,108.48699951171875,0,0,0,0
0,rank0,0,start_gate,1,100.066,100.066,1.884,101.95001220703125,0,0,0,0
0,rank0,0,pack_tx_data_submit,4,0.084,0.021,102.986,106.44000244140625,22528,0,0,0
0,rank0,0,pack_first_tx_ready,1,2.199,2.199,102.159,104.35800170898438,0,0,0,0
0,rank0,0,pack_mte3_exposed_wait,4,0.01,0.003,103.893,106.97500610351562,22528,0,0,0
0,rank0,1,kernel_total,1,29.822,29.822,101.847,131.66900634765625,0,0,0,0
0,rank0,1,pack_total,1,6.898,6.898,101.942,108.84002685546875,0,0,0,0
0,rank0,1,pack_input_wait,5,0.113,0.023,102.313,106.875,51200,0,0,0
0,rank0,1,pack_quantize,5,1.563,0.346,102.407,107.301025390625,25600,55,0,0
0,rank0,1,pack_tx_publish,5,0.995,0.249,103.824,108.5150146484375,0,5,5,320
0,rank0,1,receive_total,1,22.45,22.45,109.046,131.49600219726562,0,0,0,0
0,rank0,1,rx_flag_poll_wait,1,17.736,17.736,109.465,127.20101928710938,16,40,34,440
0,rank0,1,rx_unpack_wait,6,0.864,0.312,127.494,130.32400512695312,31680,0,0,0
0,rank0,1,rx_unpack_dequant_clear,7,0.651,0.172,127.878,130.72000122070312,30720,66,0,0
0,rank0,1,rx_output,1,0.331,0.331,130.824,131.15499877929688,10240,0,0,0
0,rank0,1,start_gate,1,100.712,100.712,1.034,101.74600219726562,0,0,0,0
0,rank0,1,pack_tx_data_submit,5,0.105,0.021,102.849,107.4520263671875,28160,0,0,0
0,rank0,1,pack_first_tx_ready,1,2.237,2.237,101.955,104.1920166015625,4,0,0,0
0,rank0,1,pack_mte3_exposed_wait,5,0.01,0.003,103.734,108.10800170898438,28160,0,0,0
0,rank0,2,kernel_total,1,31.046,31.046,102.081,133.12701416015625,0,0,0,0
0,rank0,2,pack_total,1,5.627,5.627,102.175,107.802001953125,0,0,0,0
0,rank0,2,pack_input_wait,4,0.089,0.023,102.479,105.760009765625,40960,0,0,0
0,rank0,2,pack_quantize,4,1.233,0.32,102.58,106.16302490234375,20480,44,0,0
0,rank0,2,pack_tx_publish,4,0.749,0.252,103.988,107.43600463867188,0,4,4,256
0,rank0,2,receive_total,1,24.956,24.956,108.007,132.9630126953125,0,0,0,0
0,rank0,2,rx_flag_poll_wait,1,19.94,19.94,108.413,128.35299682617188,21,45,39,495
0,rank0,2,rx_unpack_wait,6,0.969,0.345,128.627,131.62899780273438,31680,0,0,0
0,rank0,2,rx_unpack_dequant_clear,7,0.645,0.163,129.138,132.0150146484375,30720,66,0,0
0,rank0,2,rx_output,1,0.347,0.347,132.116,132.4630126953125,10240,0,0,0
0,rank0,2,start_gate,1,101.928,101.928,0.046,101.9739990234375,0,0,0,0
0,rank0,2,pack_tx_data_submit,4,0.082,0.021,103.001,106.322998046875,22528,0,0,0
0,rank0,2,pack_first_tx_ready,1,2.184,2.184,102.188,104.37200927734375,9,0,0,0
0,rank0,2,pack_mte3_exposed_wait,4,0.009,0.004,103.898,106.9940185546875,22528,0,0,0
0,rank0,3,kernel_total,1,30.785,30.785,102.441,133.22601318359375,0,0,0,0
0,rank0,3,pack_total,1,6.729,6.729,102.536,109.2650146484375,0,0,0,0
0,rank0,3,pack_input_wait,5,0.112,0.023,102.84,107.32501220703125,51200,0,0,0
0,rank0,3,pack_quantize,5,1.546,0.334,102.94,107.74301147460938,25600,55,0,0
0,rank0,3,pack_tx_publish,5,0.97,0.215,104.37,108.9630126953125,0,5,5,320
0,rank0,3,receive_total,1,23.612,23.612,109.449,133.06100463867188,0,0,0,0
0,rank0,3,rx_flag_poll_wait,1,18.72,18.72,109.825,128.54501342773438,16,45,39,495
0,rank0,3,rx_unpack_wait,6,0.883,0.316,128.828,131.7490234375,31680,0,0,0
0,rank0,3,rx_unpack_dequant_clear,7,0.649,0.17,129.306,132.14300537109375,30720,66,0,0
0,rank0,3,rx_output,1,0.341,0.341,132.247,132.5880126953125,10240,0,0,0
0,rank0,3,start_gate,1,101.757,101.757,0.583,102.34002685546875,0,0,0,0
0,rank0,3,pack_tx_data_submit,5,0.102,0.021,103.37,107.89700317382812,28160,0,0,0
0,rank0,3,pack_first_tx_ready,1,2.163,2.163,102.549,104.71200561523438,13,0,0,0
0,rank0,3,pack_mte3_exposed_wait,5,0.011,0.003,104.284,108.51602172851562,28160,0,0,0
0,rank0,4,kernel_total,1,6.949,6.949,101.748,108.697021484375,0,0,0,0
0,rank0,4,pack_total,1,5.776,5.776,101.842,107.61801147460938,0,0,0,0
0,rank0,4,pack_input_wait,4,0.089,0.023,102.149,105.551025390625,40960,0,0,0
0,rank0,4,pack_quantize,4,1.261,0.333,102.248,105.96600341796875,20480,44,0,0
0,rank0,4,pack_tx_publish,4,0.722,0.233,103.667,107.11199951171875,0,4,4,256
0,rank0,4,receive_total,1,0.581,0.581,107.823,108.40402221679688,0,0,0,0
0,rank0,4,start_gate,1,100.069,100.069,1.577,101.64602661132812,0,0,0,0
0,rank0,4,pack_tx_data_submit,4,0.081,0.021,102.674,106.12301635742188,22528,0,0,0
0,rank0,4,pack_first_tx_ready,1,2.172,2.172,101.855,104.02700805664062,18,0,0,0
0,rank0,4,pack_mte3_exposed_wait,4,0.008,0.003,103.577,106.656005859375,22528,0,0,0
0,rank0,5,kernel_total,1,26.352,26.352,102.155,128.50701904296875,0,0,0,0
0,rank0,5,pack_total,1,6.778,6.778,102.25,109.02801513671875,0,0,0,0
0,rank0,5,pack_input_wait,5,0.113,0.023,102.555,107.10501098632812,51200,0,0,0
0,rank0,5,pack_quantize,5,1.548,0.332,102.654,107.52001953125,25600,55,0,0
0,rank0,5,pack_tx_publish,5,0.969,0.24,104.081,108.67901611328125,0,5,5,320
0,rank0,5,receive_total,1,19.092,19.092,109.237,128.32901000976562,0,0,0,0
0,rank0,5,rx_flag_poll_wait,1,14.283,14.283,109.632,123.91500854492188,8,35,29,385
0,rank0,5,rx_unpack_wait,6,1.025,0.324,124.196,127.17300415039062,31680,0,0,0
0,rank0,5,rx_unpack_dequant_clear,7,0.647,0.166,124.592,127.56802368164062,30720,66,0,0
0,rank0,5,rx_output,1,0.331,0.331,127.664,127.99502563476562,10240,0,0,0
0,rank0,5,start_gate,1,100.783,100.783,1.271,102.05401611328125,0,0,0,0
0,rank0,5,pack_tx_data_submit,5,0.103,0.021,103.086,107.67001342773438,28160,0,0,0
0,rank0,5,pack_first_tx_ready,1,2.181,2.181,102.263,104.44400024414062,22,0,0,0
0,rank0,5,pack_mte3_exposed_wait,5,0.01,0.003,103.991,108.31600952148438,28160,0,0,0
0,rank0,6,kernel_total,1,29.052,29.052,102.185,131.23699951171875,0,0,0,0
0,rank0,6,pack_total,1,6.599,6.599,102.279,108.87802124023438,0,0,0,0
0,rank0,6,pack_input_wait,5,0.111,0.023,102.58,107.051025390625,51200,0,0,0
0,rank0,6,pack_quantize,5,1.542,0.321,102.674,107.47799682617188,25600,55,0,0
0,rank0,6,pack_tx_publish,5,0.775,0.221,104.081,108.54000854492188,0,5,5,320
0,rank0,6,receive_total,1,21.986,21.986,109.082,131.06802368164062,0,0,0,0
0,rank0,6,rx_flag_poll_wait,1,16.892,16.892,109.496,126.38800048828125,14,40,34,440
0,rank0,6,rx_unpack_wait,6,1.092,0.324,126.71,129.74099731445312,31680,0,0,0
0,rank0,6,rx_unpack_dequant_clear,7,0.643,0.163,127.106,130.13601684570312,30720,66,0,0
0,rank0,6,rx_output,1,0.363,0.363,130.24,130.60299682617188,10240,0,0,0
0,rank0,6,start_gate,1,100.765,100.765,1.315,102.08001708984375,0,0,0,0
0,rank0,6,pack_tx_data_submit,5,0.104,0.021,103.096,107.63201904296875,28160,0,0,0
0,rank0,6,pack_first_tx_ready,1,2.138,2.138,102.292,104.43002319335938,27,0,0,0
0,rank0,6,pack_mte3_exposed_wait,5,0.012,0.004,104.0,108.1500244140625,28160,0,0,0
0,rank0,7,kernel_total,1,29.073,29.073,102.287,131.36001586914062,0,0,0,0
0,rank0,7,pack_total,1,5.455,5.455,102.381,107.83599853515625,0,0,0,0
0,rank0,7,pack_input_wait,4,0.091,0.023,102.685,106.03302001953125,40960,0,0,0
0,rank0,7,pack_quantize,4,1.249,0.34,102.779,106.44400024414062,20480,44,0,0
0,rank0,7,pack_tx_publish,4,0.663,0.224,104.208,107.47100830078125,0,4,4,256
0,rank0,7,receive_total,1,23.121,23.121,108.049,131.17001342773438,0,0,0,0
0,rank0,7,rx_flag_poll_wait,1,18.237,18.237,108.446,126.68301391601562,10,45,39,495
0,rank0,7,rx_unpack_wait,6,0.922,0.325,126.969,129.92300415039062,31680,0,0,0
0,rank0,7,rx_unpack_dequant_clear,7,0.651,0.173,127.451,130.31201171875,30720,66,0,0
0,rank0,7,rx_output,1,0.341,0.341,130.409,130.75,10240,0,0,0
0,rank0,7,start_gate,1,100.832,100.832,1.35,102.1820068359375,0,0,0,0
0,rank0,7,pack_tx_data_submit,4,0.081,0.021,103.218,106.60101318359375,22528,0,0,0
