launch,tx_ready_shared_flag,tx_ready_in_data,tx_meta_prefetch_full,tx_ready_early_publish,rx_ready_sticky_mask,rx_ready_batch_mte2,rx_ready_batch_vector,send_route_balanced,coarse_kernel_max_us,coarse_kernel_max_rank,coarse_kernel_max_core,fine_kernel_max_us,fine_kernel_max_rank,fine_kernel_max_core,start_gate_executed,start_gate_max_us,start_gate_max_rank,start_gate_max_core,start_gate_wqes_total,start_gate_doorbells_total,start_gate_quiets_total,total_kernel_max_us,total_kernel_max_rank,total_kernel_max_core
launch0,False,False,False,False,True,False,False,True,40.764,7,47,44.557,3,42,True,48.905,3,56,56,56,56,42.282,7,42
launch1,False,False,False,False,True,False,False,True,40.542,2,45,44.72,2,45,True,57.349,3,50,56,56,56,40.807,2,42
launch2,False,False,False,False,True,False,False,True,41.578,7,42,45.109,0,49,True,66.834,3,32,56,56,56,40.129,1,42
launch3,False,False,False,False,True,False,False,True,39.645,2,42,44.014,4,42,True,55.486,3,50,56,56,56,41.266,3,46
launch4,False,False,False,False,True,False,False,True,39.351,1,42,44.443,3,42,True,88.059,3,52,56,56,56,39.284,1,42
launch5,False,False,False,False,True,False,False,True,39.107,3,42,43.908,7,42,True,70.919,3,41,56,56,56,41.55,3,47
launch6,False,False,False,False,True,False,False,True,40.96,5,43,56.062,6,42,True,52.854,3,36,56,56,56,41.79,0,42
launch7,False,False,False,False,True,False,False,True,40.803,6,42,58.913,0,43,True,71.24,3,51,56,56,56,39.849,6,43
launch8,False,False,False,False,True,False,False,True,42.283,5,42,46.803,0,42,True,47.591,3,60,56,56,56,41.026,1,42
launch9,False,False,False,False,True,False,False,True,40.397,2,42,42.733,1,42,True,60.168,3,59,56,56,56,41.226,0,42
